Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603,101.19,-94.82,0,top
C3,100n,C_0402,103.35,-98.45,0,top
C4,10u,C_0603,76.84,-104.755,270,top
C5,47u,C_0805,116.55,-116,270,top
C6,10u,C_0603,111.65,-115.3,270,top
C7,100n,C_0402,105.9,-111.6,180,top
C8,100n,C_0402,104.7,-113,270,top
C9,2.2u,C_0603,107.4,-113.3,0,top
C10,47u,C_0805,114.85,-116,270,top
C11,47u,C_0805,112.5,-117.4,0,top
C12,1n,C_0402,116.9,-108.42,0,top
C13,1n,C_0805,90.675,-120.975,135,top
C14,10u,C_0603,113.35,-115.3,270,top
C15,100n,C_0402,116.2,-112.4,270,top
C16,10u,C_0603,118.95,-109.65,0,top
C17,10u,C_0603,114.3,-104.675,90,top
C18,100n,C_0402,110.9,-106.05,0,top
C19,10u,C_0603,119.075,-108.35,0,top
C20,10u,C_0603,115.5,-104.675,90,top
C21,100n,C_0402,107.95,-110.075,90,top
C22,10u,C_0603,111.55,-101.7,0,top
C23,10u,C_0603,103.4,-109.75,90,top
C24,10u,C_0603,108.1,-107.55,90,top
C25,10u,C_0603,110.35,-116.7,270,top
C26,10u,C_0603,108.3,-105.15,90,top
C27,10u,C_0603,118,-110.8,0,top
C28,10u,C_0603,118,-112,0,top
C29,10u,C_0603,109.5,-104.85,90,top
C30,10u,C_0603,90.5,-113.275,90,top
C31,10u,C_0603,95.1,-112.1,270,top
C33,100n,C_0402,99.45,-94.6,90,top
C34,100n,C_0402,93.85,-107.375,270,top
C35,100n,C_0402,98.63,-94.6,90,top
C36,100n,C_0402,97.81,-94.6,90,top
C37,100n,C_0402,92.55,-106.8,180,top
C39,10u,C_0603,96.84,-94.175,90,top
C41,10u,C_0603,92.275,-107.775,180,top
C42,47u,C_0805,93.6,-121.6,180,top
C43,47u,C_0805,95.475,-114.975,270,top
C44,100n,C_0402,90.6,-117.35,0,top
C45,47u,C_0805,93,-116.3,180,top
C46,220p,C_0402,103.5,-90.15,180,top
C47,1n,C_0402,107.425,-93.375,180,top
C48,10u,C_0603,76.99,-92.96,90,top
C50,220p,C_0402,95,-87.05,270,top
C51,18p,C_0402,110.125,-98.4,270,top
C52,18p,C_0402,113.875,-99.15,270,top
C53,220p,C_0402,93.95,-91.35,180,top
C54,10u,CP_EIA-3216-10,114.625,-87.95,180,top
C55,10u,CP_EIA-3216-10,121.4,-94.25,90,top
C56,10u,CP_EIA-3216-10,95.549999,-90.1,90,top
C57,10u,CP_EIA-3216-10,97.5,-90.1,90,top
C58,100n,C_0402,115.2,-89.15,180,top
C59,100n,C_0402,119.6,-92.6,0,top
C60,10u,CP_EIA-3216-10,117.4,-98.6,270,top
C61,100n,C_0402,113.05,-89.525,270,top
C62,10u,CP_EIA-3216-10,115.025,-100.025,270,top
C63,10u,CP_EIA-3216-10,101.35,-90.9,90,top
C64,10u,CP_EIA-3216-10,99.4,-90.9,90,top
C65,100n,C_0402,115.975,-96.9,270,top
C66,100n,C_0402,114.625,-96.9,270,top
C67,100u,CP_EIA-3528-12,115.85,-84.15,135,top
C68,100u,CP_EIA-3528-12,119.85,-89.55,90,top
C69,10u,CP_EIA-3216-10,108.575,-91.8,180,top
C70,220p,C_0402,104.5,-87.4,180,top
C71,220p,C_0402,114,-81.55,90,top
C72,10u,C_0603,90.95,-94.125,270,top
C73,100n,C_0402,90.825,-96.125,90,top
C74,10u,C_0603,81.33,-90.98,270,top
C75,1p,C_0402,89.65,-107.575,0,top
C76,100n,C_0402,82.29,-90.64,270,top
C77,1p,C_0402,89.25,-106.75,0,top
C78,10p,C_0402,90.825,-104.5,90,top
C82,100n,C_0402,94.675,-107.375,270,top
C83,100n,C_0402,96.5,-107.375,270,top
C85,100n,C_0402,107.1,-99.825,270,top
C88,100n,C_0402,96.575,-109.075,270,top
C89,100n,C_0402,97.35,-107.38,270,top
C90,10u,C_0603,105.35,-99.71,0,top
C93,18p,C_0402,107.075,-101.7,90,top
C94,18p,C_0402,106.075,-104.525,180,top
C95,10u,C_0603,100.2,-107.7,270,top
C96,18p,C_0402,102.85,-106.475,270,top
C97,18p,C_0402,104.4,-104.525,0,top
C98,100n,C_0402,103.35,-99.55,0,top
C100,100n,C_0402,107.72,-96.61,0,top
C101,100n,C_0402,104.6,-97.85,270,top
C102,100n,C_0402,109.65,-96.33,0,top
C103,100n,C_0402,109.4,-97.15,0,top
C104,1n,C_0805,119.975,-111.7,270,top
D1,LED,LED_0603_1608Metric,85.905,-88.75,0,top
D2,LED,LED_0603_1608Metric,85.905,-87.145,0,top
D3,LED,LED_0603_1608Metric_Castellated,113.1,-120,214,top
D4,P6SMB6.8CA,D_SMB,107.45,-119.2,270,top
D5,ESD5302F,SOT-23,85.7,-84.1,135,top
D6,ESD5302F,SOT-23,100.7,-110.6,90,top
FB1,FERRET,R_0805,76.64,-102.18,270,top
FB2,FERRET,R_0805,120.45,-97.375,180,top
FB3,FERRET,R_0805,114.125,-86.275,180,top
L1,2.2uH,L_Taiyo-Yuden_MD-3030,105.7,-109.3,270,top
L2,2.2uH,L_Taiyo-Yuden_MD-3030,111.9,-104,180,top
L3,2.2uH,L_Taiyo-Yuden_MD-3030,92.675,-109.95,0,top
