Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603",101.190000,-94.820000,0.000000,top
"C2","470n","C_0402",102.800000,-112.000000,0.000000,top
"C3","100n","C_0402",103.350000,-98.450000,0.000000,top
"C4","10u","C_0603",76.840000,-104.755000,270.000000,top
"C5","47u","C_0805",116.550000,-116.000000,270.000000,top
"C6","10u","C_0603",111.650000,-115.300000,270.000000,top
"C7","100n","C_0402",105.900000,-111.600000,180.000000,top
"C8","100n","C_0402",104.700000,-113.000000,270.000000,top
"C9","2.2u","C_0603",107.400000,-113.300000,0.000000,top
"C10","47u","C_0805",114.850000,-116.000000,270.000000,top
"C11","47u","C_0805",112.500000,-117.400000,0.000000,top
"C12","1n","C_0402",116.900000,-108.420000,0.000000,top
"C13","1n","C_0805",90.675000,-120.975000,135.000000,top
"C14","10u","C_0603",113.350000,-115.300000,270.000000,top
"C15","100n","C_0402",116.200000,-112.400000,270.000000,top
"C16","10u","C_0603",118.950000,-109.650000,0.000000,top
"C17","10u","C_0603",114.300000,-104.675000,90.000000,top
"C18","100n","C_0402",110.900000,-106.050000,0.000000,top
"C19","10u","C_0603",119.075000,-108.350000,0.000000,top
"C20","10u","C_0603",115.500000,-104.675000,90.000000,top
"C21","100n","C_0402",107.950000,-110.075000,90.000000,top
"C22","10u","C_0603",111.550000,-101.700000,0.000000,top
"C23","10u","C_0603",103.400000,-109.750000,90.000000,top
"C24","10u","C_0603",108.100000,-107.550000,90.000000,top
"C25","10u","C_0603",110.350000,-116.700000,270.000000,top
"C26","10u","C_0603",108.300000,-105.150000,90.000000,top
"C27","10u","C_0603",118.000000,-110.800000,0.000000,top
"C28","10u","C_0603",118.000000,-112.000000,0.000000,top
"C29","10u","C_0603",109.500000,-104.850000,90.000000,top
"C30","10u","C_0603",90.500000,-113.275000,90.000000,top
"C31","10u","C_0603",95.100000,-112.100000,270.000000,top
"C33","100n","C_0402",99.450000,-94.600000,90.000000,top
"C34","100n","C_0402",93.850000,-107.375000,270.000000,top
"C35","100n","C_0402",98.630000,-94.600000,90.000000,top
"C36","100n","C_0402",97.810000,-94.600000,90.000000,top
"C37","100n","C_0402",92.550000,-106.800000,180.000000,top
"C39","10u","C_0603",96.840000,-94.175000,90.000000,top
"C41","10u","C_0603",92.275000,-107.775000,180.000000,top
"C42","47u","C_0805",93.600000,-121.600000,180.000000,top
"C43","47u","C_0805",95.475000,-114.975000,270.000000,top
"C44","100n","C_0402",90.600000,-117.350000,0.000000,top
"C45","47u","C_0805",93.000000,-116.300000,180.000000,top
"C46","220p","C_0402",103.500000,-90.150000,180.000000,top
"C47","1n","C_0402",107.425000,-93.375000,180.000000,top
"C48","10u","C_0603",76.990000,-92.960000,90.000000,top
"C50","220p","C_0402",95.000000,-87.050000,270.000000,top
"C51","18p","C_0402",110.125000,-98.400000,270.000000,top
"C52","18p","C_0402",113.875000,-99.150000,270.000000,top
"C53","220p","C_0402",93.950000,-91.350000,180.000000,top
"C54","10u","CP_EIA-3216-10",114.625000,-87.950000,180.000000,top
"C55","10u","CP_EIA-3216-10",121.400000,-94.250000,90.000000,top
"C56","10u","CP_EIA-3216-10",95.549999,-90.100000,90.000000,top
"C57","10u","CP_EIA-3216-10",97.500000,-90.100000,90.000000,top
"C58","100n","C_0402",115.200000,-89.150000,180.000000,top
"C59","100n","C_0402",119.600000,-92.600000,0.000000,top
"C60","10u","CP_EIA-3216-10",117.400000,-98.600000,270.000000,top
"C61","100n","C_0402",113.050000,-89.525000,270.000000,top
"C62","10u","CP_EIA-3216-10",115.025000,-100.025000,270.000000,top
"C63","10u","CP_EIA-3216-10",101.350000,-90.900000,90.000000,top
"C64","10u","CP_EIA-3216-10",99.400000,-90.900000,90.000000,top
"C65","100n","C_0402",115.975000,-96.900000,270.000000,top
"C66","100n","C_0402",114.625000,-96.900000,270.000000,top
"C67","100u","CP_EIA-3528-12",115.850000,-84.150000,135.000000,top
"C68","100u","CP_EIA-3528-12",119.850000,-89.550000,90.000000,top
"C69","10u","CP_EIA-3216-10",108.575000,-91.800000,180.000000,top
"C70","220p","C_0402",104.500000,-87.400000,180.000000,top
